43120000 00000092
3f65fb6d 00000000
48800000 00040000
80000000 00000000
3b800000 00000000
70dc5b23 7fffffff
4d000000 08000000
44000000 00000200
c907b810 fff7847f
f0a34b5e 80000000
714714a8 7fffffff
f11b6a9a 80000000
6f7b590d 7fffffff
00000000 00000000
7121ace0 7fffffff
483ddacf 0002f76b
48f51ff0 0007a8ff
00000000 00000000
00000000 00000000
00000000 00000000
48000000 00020000
3d800000 00000000
3d800000 00000000
49396fdc 000b96fd
3f088720 00000000
80000000 00000000
c95bdabc fff24255
4e000000 20000000
f10c3eff 80000000
80000000 00000000
80000000 00000000
496b997c 000eb997
00000000 00000000
6fa59138 7fffffff
00000000 00000000
7137dd8c 7fffffff
c949820f fff367e0
00000000 00000000
48ecd085 00076684
44790000 000003e4
00000000 00000000
711acd20 7fffffff
48c88ea6 00064475
3d8d1ad1 00000000
00000000 00000000
f022603e 80000000
49449287 000c4928
44290000 000002a4
47000000 00008000
c8b67394 fffa4c64
4954273c 000d4273
440cc000 00000233
80000000 00000000
c41ec000 fffffd85
be9d2acc 00000000
71148a73 7fffffff
37800000 00000000
4d800000 10000000
c8151146 fffdabbb
f0cc993e 80000000
80000000 00000000
f0624e1d 80000000
38800000 00000000
c8f57043 fff8547e
bed71f3a 00000000
37800000 00000000
70d312c7 7fffffff
30800000 00000000
f0cfad44 80000000
80000000 00000000
43800000 00000100
00000000 00000000
3ecf5cf6 00000000
c95ffced fff20032
35800000 00000000
3b000000 00000000
00000000 00000000
beb65288 00000000
80000000 00000000
c40f4000 fffffdc3
4949132e 000c9132
00000000 00000000
80000000 00000000
80000000 00000000
c944d35a fff3b2cb
48e77c70 00073be3
c45b0000 fffffc94
49351562 000b5156
c9531604 fff2cea0
70d1a860 7fffffff
4799d621 000133ac
80000000 00000000
bf75a170 00000000
3f3f3984 00000000
bf0c5a84 00000000
41000000 00000008
70b40caf 7fffffff
bf0d1693 00000000
40800000 00000004
48880b51 0004405a
bee8a8dd 00000000
45800000 00001000
4435c000 000002d7
4d800000 10000000
3f51a8da 00000000
80000000 00000000
705938ca 7fffffff
80000000 00000000
00000000 00000000
00000000 00000000
80000000 00000000
bf6f42f6 00000000
4a000000 00200000
c95836f7 fff27c91
43340000 000000b4
f10ae905 80000000
00000000 00000000
f03e855a 80000000
80000000 00000000
80000000 00000000
c893c0c3 fffb61fa
f0af8d17 80000000
43c00000 00000180
00000000 00000000
80000000 00000000
43b10000 00000162
c3be8000 fffffe83
00000000 00000000
3d800000 00000000
44390000 000002e4
43800000 00000100
f134807a 80000000
00000000 00000000
c9465313 fff39acf
00000000 00000000
00000000 00000000
34800000 00000000
c80885ad fffdddea
3f225c06 00000000
c433c000 fffffd31
80000000 00000000
43e68000 000001cd
00000000 00000000
f0f4cca3 80000000
39000000 00000000
00000000 00000000
c45d8000 fffffc8a
80000000 00000000
c927183d fff58e7d
00000000 00000000
4d800000 10000000
3efcf8b3 00000000
3b800000 00000000
80000000 00000000
c928a462 fff575ba
80000000 00000000
80000000 00000000
80000000 00000000
00000000 00000000
00000000 00000000
bf7a849a 00000000
f00bec20 80000000
bf76a2de 00000000
3f0f574e 00000000
00000000 00000000
00000000 00000000
40800000 00000004
f00fb614 80000000
00000000 00000000
80000000 00000000
80000000 00000000
3b000000 00000000
00000000 00000000
4823e86e 00028fa1
00000000 00000000
3f360e34 00000000
3f6a3f9d 00000000
bf6bc1fe 00000000
42ec0000 00000076
c90b28eb fff74d72
00000000 00000000
4476c000 000003db
00000000 00000000
70f53ab6 7fffffff
00000000 00000000
bf022414 00000000
708a3b7a 7fffffff
f0c6a924 80000000
80000000 00000000
4e800000 40000000
c923878f fff5c788
80000000 00000000
43f18000 000001e3
34800000 00000000
80000000 00000000
c8a46b22 fffadca7
c8c25f35 fff9ed07
3ead09c1 00000000
00000000 00000000
00000000 00000000
80000000 00000000
47800000 00010000
c46ac000 fffffc55
42640000 00000039
49000000 00080000
c4074000 fffffde3
4b800000 01000000
80000000 00000000
80000000 00000000
3f800000 00000001
c3d58000 fffffe55
44648000 00000392
3f651233 00000000
c4244000 fffffd6f
42000000 00000020
3f177d64 00000000
00000000 00000000
4945f1d4 000c5f1d
37000000 00000000
00000000 00000000
7130824f 7fffffff
44800000 00000400
3f7dcc9d 00000000
44724000 000003c9
bf41671c 00000000
3e59a9f4 00000000
c3970000 fffffed2
4a000000 00200000
3f800000 00000001
7139dce1 7fffffff
00000000 00000000
c7cf8978 fffe60ee
c971cfb7 fff0e305
3b800000 00000000
3f5c7cb9 00000000
39000000 00000000
c8f9b0c5 fff8327a
80000000 00000000
43e70000 000001ce
48800000 00040000
f12a6ff2 80000000
00000000 00000000
41300000 0000000b
37000000 00000000
80000000 00000000
f0b90f6b 80000000
3e944f2a 00000000
c886091d fffbcfb8
4914e391 00094e39
80000000 00000000
3ee712f7 00000000
f1064ae9 80000000
80000000 00000000
f092b978 80000000
35000000 00000000
bf3827cf 00000000
30800000 00000000
00000000 00000000
80000000 00000000
45800000 00001000
441f4000 0000027d
f1261b32 80000000
f12ac169 80000000
c9544b25 fff2bb4e
43b78000 0000016f
00000000 00000000
f0574c4d 80000000
00000000 00000000
f009c314 80000000
bdfc7093 00000000
00000000 00000000
43800000 00000100
43fa8000 000001f5
00000000 00000000
80000000 00000000
00000000 00000000
48515757 0003455d
70b95773 7fffffff
80000000 00000000
35000000 00000000
00000000 00000000
f0bc5bba 80000000
4c800000 04000000
c3540000 ffffff2c
3eaadcf6 00000000
80000000 00000000
80000000 00000000
c75aa6ac ffff255a
c4728000 fffffc36
4c000000 02000000
80000000 00000000
c932fda7 fff4d026
45800000 00001000
f0936268 80000000
445d8000 00000376
482662b2 0002998a
c3220000 ffffff5e
be510248 00000000
f0260aaa 80000000
00000000 00000000
3e1c772b 00000000
709efd84 7fffffff
c4258000 fffffd6a
4d000000 08000000
30800000 00000000
44390000 000002e4
46000000 00002000
c2f20000 ffffff87
c96e44ff fff11bb1
48646598 00039196
80000000 00000000
80000000 00000000
00000000 00000000
c9229460 fff5d6ba
80000000 00000000
c958f67a fff27099
3a800000 00000000
3d000000 00000000
c40cc000 fffffdcd
702cb287 7fffffff
80000000 00000000
c816c302 fffda4f4
4b800000 01000000
3f2281c8 00000000
80000000 00000000
c3ae0000 fffffea4
c7a9e0bb fffeac3f
efd6241a 80000000
80000000 00000000
3b800000 00000000
38800000 00000000
00000000 00000000
00000000 00000000
c8852764 fffbd6c5
43b60000 0000016c
80000000 00000000
be3e7594 00000000
35800000 00000000
3f652b4f 00000000
6f0c2276 7fffffff
3f42d946 00000000
4a800000 00400000
48959cfa 0004ace7
706925f2 7fffffff
80000000 00000000
c938bc76 fff47439
80000000 00000000
c950ee49 fff2f11c
49000000 00080000
ee38145a 80000000
70677acb 7fffffff
80000000 00000000
f12a03de 80000000
44800000 00000400
44118000 00000246
00000000 00000000
c3480000 ffffff38
c45c0000 fffffc90
3f3c0aeb 00000000
00000000 00000000
43918000 00000123
c38b0000 fffffeea
c8e37d74 fff8e415
490fdd5b 0008fdd5
3e800000 00000000
6f6cc6e4 7fffffff
00000000 00000000
00000000 00000000
4928903d 000a8903
00000000 00000000
44544000 00000351
c4258000 fffffd6a
70afbf0b 7fffffff
c3820000 fffffefc
c43bc000 fffffd11
80000000 00000000
36000000 00000000
bf216c9d 00000000
00000000 00000000
44090000 00000224
494dbf20 000cdbf2
80000000 00000000
80000000 00000000
49800000 00100000
39800000 00000000
80000000 00000000
3f194e3f 00000000
c4294000 fffffd5b
bed5d2fa 00000000
bbd9f459 00000000
443e0000 000002f8
47000000 00008000
491d931b 0009d931
c8e1a9ed fff8f2b1
45800000 00001000
45000000 00000800
7078ff9d 7fffffff
43da8000 000001b5
3f1c4dfc 00000000
3f217376 00000000
80000000 00000000
3d000000 00000000
bf3e9d31 00000000
00000000 00000000
00000000 00000000
48c3a599 00061d2c
70122a6a 7fffffff
42800000 00000040
00000000 00000000
f0c8c3fb 80000000
c42a4000 fffffd57
33000000 00000000
00000000 00000000
f0d1ae51 80000000
43800000 00000100
42880000 00000044
c911c3eb fff6e3c2
c88f365a fffb864e
f1276fe2 80000000
44324000 000002c9
80000000 00000000
3b000000 00000000
00000000 00000000
41b80000 00000017
bf77476a 00000000
48885a02 000442d0
80000000 00000000
00000000 00000000
80000000 00000000
c8b14dc8 fffa7592
44784000 000003e1
00000000 00000000
3a800000 00000000
3db10995 00000000
80000000 00000000
40800000 00000004
00000000 00000000
f1249fa1 80000000
42800000 00000040
c8d4fc60 fff9581d
bee6da56 00000000
4c800000 04000000
00000000 00000000
c90c45ef fff73ba2
32800000 00000000
80000000 00000000
47800000 00010000
80000000 00000000
c90768e7 fff78972
c966688b fff19978
c8408f35 fffcfdc4
bf06693b 00000000
00000000 00000000
be168498 00000000
4d000000 08000000
80000000 00000000
3db17335 00000000
f0984729 80000000
80000000 00000000
490deaaa 0008deaa
702a4da6 7fffffff
c959cb27 fff2634e
48570017 00035c00
c8ec34fc fff89e59
44670000 0000039c
00000000 00000000
3f5a81dd 00000000
80000000 00000000
00000000 00000000
f08f3da6 80000000
eff1555d 80000000
491f2516 0009f251
703469f7 7fffffff
c3c40000 fffffe78
494eb848 000ceb84
00000000 00000000
4b000000 00800000
80000000 00000000
3a000000 00000000
4b800000 01000000
00000000 00000000
43f10000 000001e2
3e4dd7e1 00000000
c3e58000 fffffe35
80000000 00000000
00000000 00000000
71407f60 7fffffff
80000000 00000000
c8d1b1fa fff97271
f09f8bdc 80000000
70ae7872 7fffffff
c3c80000 fffffe70
ef0a5d7d 80000000
49141a2f 000941a2
3f654a24 00000000
46000000 00002000
00000000 00000000
48103ea2 000240fa
00000000 00000000
f098d9b0 80000000
3c2a8e7f 00000000
80000000 00000000
bf72f7ee 00000000
6e9fa364 7fffffff
80000000 00000000
3c800000 00000000
47800000 00010000
3c000000 00000000
c3cd8000 fffffe65
80000000 00000000
49349f8e 000b49f8
47800000 00010000
00000000 00000000
442c0000 000002b0
38800000 00000000
4e800000 40000000
bef182c2 00000000
f107f65b 80000000
00000000 00000000
485f67f8 00037d9f
00000000 00000000
3e000000 00000000
c8c37142 fff9e476
c3460000 ffffff3a
00000000 00000000
bf282f9c 00000000
80000000 00000000
f09277a6 80000000
00000000 00000000
c34c0000 ffffff34
80000000 00000000
00000000 00000000
be26e235 00000000
49306c9a 000b06c9
